rgiid,Name,surge_reduced,Slope,thick_w0,thick_w1,thick_w2,thick_w3,thick_w4,thick_w5,thick_w6,thick_w7,thick_w8,thick_w9,thick_w10,thick_w11,windowlength_w0,windowlength_w1,windowlength_w2,windowlength_w3,windowlength_w4,windowlength_w5,windowlength_w6,windowlength_w7,windowlength_w8,windowlength_w9,windowlength_w10,windowlength_w11,bedslope_w0,bedslope_w1,bedslope_w2,bedslope_w3,bedslope_w4,bedslope_w5,bedslope_w6,bedslope_w7,bedslope_w8,bedslope_w9,bedslope_w10,bedslope_w11,surfslope_w0,surfslope_w1,surfslope_w2,surfslope_w3,surfslope_w4,surfslope_w5,surfslope_w6,surfslope_w7,surfslope_w8,surfslope_w9,surfslope_w10,surfslope_w11
RGI60-07.00004,,0,13.8,28.124966500000017,33.02452250000002,35.35941850000001,35.60524699999998,35.146766999999976,32.33702500000002,31.146064999999993,28.473239,25.09620399999997,20.191656999999992,,,67.88275646617923,75.89523283663391,72.00054402058338,48.0003651504598,72.00055143099401,48.00037009078589,101.82416674759818,86.53390721446156,53.66605379926115,86.53391603191265,,,0.11179823685116921,0.09429986327775283,0.17178320336271938,0.0,0.0,0.0,0.21857973132400485,0.30282647877836955,0.5598210417666974,0.39972984863915645,,,0.029454042679059784,0.039507606400648335,0.1651474521520502,0.0,0.0,0.0,0.24075897775801175,0.3337184642573506,0.6036095111584114,0.46117655655353784,,
RGI60-07.00006,Chomjakovbreen,0,12.6,24.034931499999995,41.58321900000007,89.19156499999993,84.31862999999991,51.34808,45.33406800000009,45.02778800000002,53.622568000000015,52.64333400000007,46.472579999999994,50.80144500000005,,175.36547802408467,834.1386158901054,667.7712818694642,623.1023143809209,558.0089554170695,623.1022628407284,623.1021856278163,693.1919219170617,834.137369433394,670.642393584014,472.1846874149347,,0.1474839300478958,0.18594579970849384,0.13032663278563963,-0.07252574308993066,0.05251223289839958,0.06832962493805783,0.07966500746641174,0.06920211549262789,0.04376985389275569,0.08497453854416546,0.1527277284025993,,0.15276461229913157,0.14640247830736144,0.05833696267136103,0.020860320981547848,0.06621025879060134,0.07528646539336686,0.0736904900659532,0.05332566751486324,0.0550909902070878,0.08922889467649868,0.1284751758151796,
RGI60-07.00008,Lorchbreen,0,14.8,26.881968500000028,29.738972000000047,27.28399100000001,22.632894999999976,19.860367500000002,17.604804999999967,17.312263000000012,15.445149,14.48272899999998,14.570743500000018,12.777880999999986,,112.0010838197141,168.0016260927473,218.68909783205697,140.0013330737995,168.00157903444773,170.31892902321064,168.00153443024954,170.31888392519608,170.31886969430903,170.31886366247272,39.59833003442554,,0.36307388974294136,0.18915559005989208,-0.009478560847248336,0.11217412166166524,0.12250264458529372,0.14710499063171834,0.13709663346734824,0.1748525021032458,-0.0030976503863614775,0.08999190621407045,0.0,,0.31906671340546094,0.18821972622647823,0.013717244547532752,0.14189572154280408,0.13021023290319908,0.13422877191810642,0.15354240209558984,0.18004065076120898,0.0,0.10529327377864045,0.0,
RGI60-07.00010,Sofiebreen,0,16.0,19.96044149999996,22.366862500000018,23.418693999999974,21.783664999999978,20.33742800000003,21.572004999999994,16.37170700000001,15.35670200000002,16.249270000000017,17.16815350000001,18.186326999999967,,81.00037085694568,189.000865524626,190.9197067219571,189.0008684728531,190.9197096982898,196.56387584020416,205.62683414734434,217.68197891317556,248.9288555574338,196.5638693396942,85.38188610358341,,0.5630270131861346,0.37633565246640516,0.15798625184176643,0.1949198206277885,0.2155079705606263,0.20892573149831895,0.09214672050049423,0.1413158657640731,0.11921244610355032,0.141599932936194,0.0,,0.5349530657688296,0.3685897281397521,0.15585967425463026,0.2136203642669392,0.21153715507041093,0.20075501050467343,0.10658447583099508,0.13695301702125381,0.11597635616977374,0.13650569228366652,0.0,
RGI60-07.00024,Zawadzkibreen,0,19.4,13.757988500000009,14.597683499999986,12.43990950000001,10.342456500000019,10.829138000000027,16.081717999999984,18.76348400000001,10.793845499999982,11.094700500000016,11.459888999999983,11.694002999999983,,72.00067707960709,192.00178586264158,168.00154010806318,214.66446506894852,192.00172278561558,255.12577323321605,192.00168409346787,206.45759259777125,193.4958503697741,214.66437685606317,96.00083062504562,,0.15103740435631835,0.1637336569845167,0.326899501704794,0.09678662854214376,-0.31172305269347766,-0.041627669002977194,0.1600244755918111,0.26611266504491454,0.23987484480409935,0.20397804530608366,0.2357780075583375,,0.1243538371564406,0.16514716909834345,0.34829005128621665,0.09751679708077964,-0.3170530951968867,-0.07823271129461797,0.18031024740132162,0.2648692163125122,0.23828453475903055,0.20217089152597215,0.23514900929645313,
RGI60-07.00025,Braasvellbreen,1,4.4,400.227310000001,345.83761999999996,277.77612000000084,241.02700999999962,300.35461499999855,339.6197899999985,299.00093500000185,266.112585000001,215.27740500000056,185.09215499999914,191.7388900000004,,2088.809021095977,4401.579273334617,4201.519049689375,4201.530395783951,4201.5417827695155,4401.627445767868,4201.565201581564,5383.42317618823,4562.296268755948,4244.045573506063,2236.778271918752,,0.005417627542683691,0.005125760779960536,0.004375596648488834,0.024366098854190284,0.03402909089177975,0.005538222638241018,0.0073808724521264805,0.0009341005477085877,-0.006542708387960782,0.017945114500938518,0.007737590628323924,,0.015657978539992276,0.02138333677451685,0.02145768224623475,0.021126642695609398,0.009228088493326233,0.012160593327839,0.01720372398756453,0.005023326543217707,0.00889456919160253,0.012883379476799446,0.02111269884953639,
RGI60-07.00026,Austfonna,0,3.4,,346.1227700000008,345.2064400000008,354.8601200000004,275.3887949999999,208.52824999999973,239.0389450000002,226.56634000000003,187.29749500000028,162.86876499999974,174.0236299999998,,,1394.3017068287038,1564.248714822125,1564.2546508471396,1332.862643875473,1637.5495507801145,1281.590045124277,1464.6760844901908,1464.6779368347916,1281.5947274427274,1687.9676371703201,,,0.01781805572486195,0.013560397734895167,0.019398787179485226,-0.09844400152741999,0.052225501413782544,0.043691565478437305,0.004286682638169784,-0.009534039890205992,0.05433091359666795,0.03289622389699035,,,0.01406812153566943,0.0179886831121767,0.015295939059235118,0.017197548502388096,0.024010920527426656,0.02608184148129529,0.026438074426105504,0.02798522803755151,0.02392649291654879,0.04013978302957885,
RGI60-07.00027,Austfonna basin 3,1,9.0,540.7794500000016,499.22900000000203,485.4605299999986,493.844364999998,467.3544499999996,440.61775000000193,396.9681850000018,315.12668000000093,234.19286499999916,175.7561750000004,129.82393999999965,,2474.781192251712,6553.851266114038,5602.2168914296935,5616.5187653556895,6884.718731594921,7510.644039312841,6885.073115493122,7250.651413923351,5730.123320131385,5775.51572092173,3001.707628968286,,-0.007698702266965736,0.004392219737792818,0.013310403272129293,0.008427328641736233,0.005136975421151209,0.011796699370748912,0.0014386582393638432,0.0009500634541856711,0.002376792538875534,0.00040595454752394267,0.013044286751191158,,0.007805202252355398,0.011022263324017652,0.010327563898857613,0.009262173692855754,0.012186773252815683,0.012178859333782497,0.012613489004133966,0.0100402694249054,0.015063190856854362,0.010577158946464086,0.021629834366886588,
RGI60-07.00028,Austfonna,0,3.2,,431.7202899999997,358.0377500000001,338.25929500000007,304.73144500000046,278.5050650000004,276.2676849999997,261.53527000000025,240.4851400000004,189.65820999999997,154.7214299999997,,,2281.433789425268,2060.1195755385065,2060.13528972178,2263.8712389178104,2546.8832836994825,2546.9129885353923,2127.1613469403533,1800.9678927381653,2281.593223722163,1400.776178358773,,,-0.013117747900003078,-0.02476669114937971,0.016870829942739793,-0.0020711837380918497,0.04032684892910165,0.026683858281974324,0.024556629253892428,-0.0020907255087226646,0.009322077507916028,0.040118073684859104,,,0.014632284094809897,0.018611217030705517,0.014627025194038065,0.022796706395316762,0.03168847802045646,0.03335488175937052,0.026471242569213068,0.017852224981543582,0.038741756783227,0.032855996818503826,
RGI60-07.00029,Austfonna,0,10.8,561.0595699999986,563.8944000000005,538.3312500000017,468.2076099999989,404.03612499999906,354.04280000000097,305.53803999999957,301.6716000000009,310.2907649999997,261.8666449999998,140.94957749999966,,447.4047834265899,3579.2774683762,3312.100292521776,3843.696407585832,3607.326777872394,3008.1913001830544,4105.819734418986,4105.89746837019,3722.315968093154,3844.1149592492243,3396.1504252567597,,0.030205194861735236,0.005594160079230661,-0.0011065058967500631,-0.01140295319300583,0.0061579226344335766,-0.013099009403089112,0.01986791681646235,0.029097110550809258,0.023732489604680225,-0.0028748340443062624,-0.007712428009103451,,0.004528306864254418,0.007763226522066484,0.011297259975859902,0.01247259376876725,0.013180410163098982,0.011709092495664606,0.020575836590502692,0.02458747502051662,0.025473668933256685,0.022130139334876762,0.03867115400467053,
