,X,Y,ELA,beta,cmb
14591,408490,8741290,603.0581665039062,0.004151722253685263,-2.8065719604492188
15138,409490,8738290,603.0581665039062,0.004402884415036062,-1.2472248077392578
15139,409490,8739290,603.0581665039062,0.004388348413764393,-1.4972457885742188
15140,409490,8740290,603.0581665039062,0.0044975914058356155,-2.0447425842285156
15142,409490,8742290,603.0581665039062,0.004488106939658103,-1.2639646530151367
15143,409490,8743290,603.0581665039062,0.004450700695564557,-1.45550537109375
15681,410490,8731290,603.0581665039062,0.004541458850755976,-2.3168716430664062
15684,410490,8734290,603.0581665039062,0.004384095447569752,-0.19660568237304688
15687,410490,8737290,603.0581665039062,0.004489715224322106,-0.3584566116333008
15688,410490,8738290,603.0581665039062,0.004529751637928036,-1.0779526233673096
15689,410490,8739290,603.0581665039062,0.004659608407220535,-1.5527706146240234
15690,410490,8740290,603.0581665039062,0.004718981202342377,-1.8543434143066406
15691,410490,8741290,603.0581665039062,0.00469982353506391,-1.00736665725708
15692,410490,8742290,603.0581665039062,0.004741779809368515,-1.5976543426513672
15693,410490,8743290,603.0581665039062,0.004712059740054496,-1.5518035888671875
15694,410490,8744290,603.0581665039062,0.004723065421491237,-1.136354923248291
16229,411490,8729290,603.0581665039062,0.0045974139773682435,-1.130910873413086
16230,411490,8730290,603.0581665039062,0.004605010327077619,-0.08742523193359375
16231,411490,8731290,603.0581665039062,0.004584064956122035,-0.4577474594116211
16232,411490,8732290,603.0581665039062,0.004575773822755839,-0.1604442596435547
16233,411490,8733290,603.0581665039062,0.004448149962111458,0.3094329833984375
16234,411490,8734290,603.0581665039062,0.004384095447569752,-0.06492233276367188
16236,411490,8736290,603.0581665039062,0.0044112601916297045,-1.3680267333984375
16237,411490,8737290,603.0581665039062,0.004489715224322106,-1.2397937774658203
16238,411490,8738290,603.0581665039062,0.004529751637928036,-1.249556541442871
16239,411490,8739290,603.0581665039062,0.004659608407220535,-1.6867218017578125
16240,411490,8740290,603.0581665039062,0.004718981202342377,-1.9024810791015625
16241,411490,8741290,603.0581665039062,0.00469982353506391,-1.2218599319458008
16242,411490,8742290,603.0581665039062,0.004741779809368515,-1.8373641967773438
